,,,,,,BATTING STATS,,,,,,,,,BOWLING STATS,,,,,,,,,,
S.NO,Name,Type,Bowling Style,Country,matches played,Runs,Hs,avg,ball faced,str  rate,100,50,4s,6s,Runs conceded,Balls,Maidens,Wickets,Avg,Economy,Str rate,Best ,4w,5w,Base price
37,Sikandar Raza,Batting Allrounder,Spin,Zimbabwe,9,182,57,26,136,133.83,0,1,12,8,141,84,0,3,47,10.07,28,1-19',0,0,1cr
38,Mitchell Santner,Bowling Allrounder,Spin,New Zealand,35,136,22,17,123,110.57,0,0,9,6,860,687,0,30,28.67,7.51,22.9,3-11',0,0,1.5cr
39,Kieron Pollard,Batting Allrounder,Pace,West Indies,189,3412,87,28.67,2316,147.33,0,16,218,223,2180,1488,0,69,31.59,8.79,21.57,4-44',1,0,2cr
40,Glenn Maxwell,Batting Allrounder,Spin,Australia,141,2819,95,23.89,1817,155.15,0,18,237,161,1413,1022,1,41,34.46,8.3,24.93,2-15',0,0,2cr
41,Marcus Stoinis,Batting Allrounder,Pace,Australia,121,2242,124,28.74,1520,147.5,1,10,181,117,1547,935,0,46,33.63,9.93,20.33,4-15',1,0,2cr
42,Liam Livingstone,Batting Allrounder,Spin,England,51,1066,94,25.38,687,155.17,0,7,70,76,469,312,0,13,36.08,9.02,24,3-27',0,0,1.5cr
43,Will Jacks,Batting Allrounder,Spin,England,27,569,100,27.1,361,157.62,1,2,47,36,302,179,0,9,33.56,10.12,19.89,2-14',0,0,1.5cr
,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ben Cutting,Batting Allrounder,Pace,Australia,21,238,39,21.64,141,168.8,0,0,15,19,429,281,0,10,42.9,9.16,28.1,2-20',0,0,1cr
46,Mohammed Nabi,Bowling Allrounder,Spin,Afghanistan,24,215,31,13.44,150,143.34,0,0,18,11,517,417,0,15,34.47,7.44,27.8,4-11',1,0,1cr
47,Pat Cummins,Bowling Allrounder,Pace,Australia,78,641,66,20.03,419,152.99,0,3,40,44,2568,1761,2,87,29.52,8.75,20.24,4-34',1,0,2cr
